2024-08-19/20:12:18		Entered the preprocessor training class 
2024-08-19/20:13:38		Entered the preprocessor training class 
2024-08-19/20:13:51		Entered the preprocessor training class 
2024-08-19/20:14:35		Entered the preprocessor training class 
2024-08-19/20:14:35		Exception in prediction data preprocessing name 'raining_data' is not defined
2024-08-19/20:15:23		Entered the preprocessor training class 
2024-08-19/20:15:23		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:15:23		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:15:23		Exception in prediction data preprocessing name 'log_file' is not defined
2024-08-19/20:17:03		Entered the preprocessor training class 
2024-08-19/20:17:03		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:17:03		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:17:03		Exception in prediction data preprocessing 'prediction_Preprocessor' object has no attribute 'log_file'
2024-08-19/20:18:26		Entered the preprocessor training class 
2024-08-19/20:18:26		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:18:26		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:18:26		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:18:26		Replaced ? in data with Nan
2024-08-19/20:18:26		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:18:26		Entered the remove_columns method of the Preprocessor class
2024-08-19/20:18:26		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/20:18:26		Exception in prediction data preprocessing 'prediction_Preprocessor' object has no attribute 'is_null_present'
2024-08-19/20:19:29		Entered the preprocessor training class 
2024-08-19/20:19:29		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:19:29		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:19:29		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:19:29		Replaced ? in data with Nan
2024-08-19/20:19:29		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:19:29		Entered the remove_columns method of the Preprocessor class
2024-08-19/20:19:29		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/20:19:29		Exception in prediction data preprocessing local variable 'df' referenced before assignment
2024-08-19/20:20:35		Entered the preprocessor training class 
2024-08-19/20:20:35		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:20:35		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:20:35		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:20:35		Replaced ? in data with Nan
2024-08-19/20:20:35		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:20:35		Entered the remove_columns method of the Preprocessor class
2024-08-19/20:20:35		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/20:20:35		Entered the is_null_present method of the Preprocessor class
2024-08-19/20:20:35		Finding missing values is a success.
2024-08-19/20:20:35		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/20:20:35		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/20:20:35		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/20:20:35		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/20:20:35		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/20:20:35		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/20:21:13		Entered the preprocessor training class 
2024-08-19/20:21:13		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:21:13		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:21:13		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:21:13		Replaced ? in data with Nan
2024-08-19/20:21:13		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:21:13		Entered the remove_columns method of the Preprocessor class
2024-08-19/20:21:13		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/20:21:13		Entered the is_null_present method of the Preprocessor class
2024-08-19/20:21:13		Finding missing values is a success.
2024-08-19/20:21:13		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/20:21:13		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/20:21:13		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/20:21:13		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/20:21:13		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/20:21:13		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/20:21:30		Entered the preprocessor training class 
2024-08-19/20:21:30		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:21:30		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/20:21:30		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:21:30		Replaced ? in data with Nan
2024-08-19/20:21:30		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/20:21:30		Entered the remove_columns method of the Preprocessor class
2024-08-19/20:21:30		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/20:21:30		Entered the is_null_present method of the Preprocessor class
2024-08-19/20:21:30		Finding missing values is a success.
2024-08-19/20:21:30		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/20:21:30		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/20:21:30		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/20:21:30		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/20:21:30		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/20:21:30		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/21:31:09		Entered the preprocessor training class 
2024-08-19/21:31:09		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/21:31:09		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/21:31:09		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/21:31:09		Replaced ? in data with Nan
2024-08-19/21:31:09		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/21:31:09		Entered the remove_columns method of the Preprocessor class
2024-08-19/21:31:09		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/21:31:09		Entered the is_null_present method of the Preprocessor class
2024-08-19/21:31:09		Finding missing values is a success.
2024-08-19/21:31:09		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/21:31:09		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/21:31:09		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/21:31:09		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/21:31:09		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/21:31:09		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/21:31:53		Entered the preprocessor training class 
2024-08-19/21:31:53		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/21:31:53		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/21:31:53		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/21:31:53		Replaced ? in data with Nan
2024-08-19/21:31:53		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/21:31:53		Entered the remove_columns method of the Preprocessor class
2024-08-19/21:31:53		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/21:31:53		Entered the is_null_present method of the Preprocessor class
2024-08-19/21:31:53		Finding missing values is a success.
2024-08-19/21:31:53		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/21:31:53		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
